,query,App ID,AllSuccessful,aLogSuccess,AppSuccessful,aQueryTime,elapsedTime,AppDurationSecs,stageDuration
0,q1,app-20201104183112-0175,True,True,True,19368.0,52416,56.783,58527
1,q2,app-20201104183211-0176,False,False,True,,32414,36.701,20986
2,q3,app-20201104183249-0177,True,True,True,22734.0,53664,60.291,40468
3,q4,app-20201104183351-0178,True,True,True,149280.0,240372,247.17,739202
4,q5,app-20201104183800-0179,True,True,True,47229.0,80275,84.721,100066
5,q6,app-20201104183926-0180,True,True,True,22676.0,55128,59.552,53953
6,q7,app-20201104184027-0181,True,True,True,16806.0,49044,53.45,40274
7,q8,app-20201104184122-0182,False,False,True,,32204,36.644,20966
8,q9,app-20201104184200-0183,True,True,True,112990.0,145453,149.968,1519628
9,q10,app-20201104184432-0184,True,True,True,27029.0,59994,64.305,68915
10,q11,app-20201104184538-0185,True,True,True,57788.0,89830,94.502,208400
11,q12,app-20201104184714-0186,True,True,True,14161.0,45892,50.206,35334
12,q13,app-20201104184806-0187,False,False,True,,32884,37.156,21440
13,q14a,app-20201104184844-0188,False,False,True,,33252,39.998,21867
14,q14b,app-20201104184926-0189,False,False,True,,365847,369.554,471497
15,q15,app-20201104185537-0190,False,False,True,,34140,38.154,22660
16,q16,app-20201104185617-0191,False,False,True,,33624,37.827,22152
17,q17,app-20201104185656-0192,True,True,True,22224.0,53592,57.971,56638
18,q18,app-20201104185756-0193,True,True,True,26233.0,58768,63.631,61122
19,q19,app-20201104185901-0194,True,True,True,16904.0,49094,53.518,48394
20,q20,app-20201104185956-0195,True,True,True,14756.0,47868,52.229,37119
21,q21,app-20201104190050-0196,True,True,True,19707.0,106754,113.79,48209
22,q22,app-20201104190246-0197,True,True,True,27209.0,121016,127.012,61489
23,q23a,app-20201104190454-0198,False,False,True,,33241,38.455,21860
24,q23b,app-20201104190534-0199,True,True,True,307378.0,339480,344.549,830704
25,q24a,app-20201104191120-0200,True,True,True,283322.0,316551,323.006,443703
26,q24b,app-20201104191646-0201,True,True,True,271098.0,301950,307.974,426845
27,q25,app-20201104192155-0202,True,True,True,20214.0,52316,56.686,54888
28,q26,app-20201104192254-0203,True,True,True,14964.0,46769,51.093,38026
29,q27,app-20201104192346-0204,True,True,True,14808.0,47324,51.639,38092
30,q28,app-20201104192439-0205,True,True,True,77737.0,110172,114.306,435396
31,q29,app-20201104192635-0206,True,True,True,41188.0,73758,78.005,82056
32,q30,app-20201104192755-0207,True,True,True,26648.0,58593,63.09,87007
33,q31,app-20201104192900-0208,True,True,True,32025.0,63111,69.033,141966
34,q32,app-20201104193010-0209,False,False,True,,32533,36.871,21306
35,q33,app-20201104193049-0210,True,True,True,18722.0,54672,59.107,62998
36,q34,app-20201104193149-0211,False,True,True,18615.0,49843,55.396,45045
37,q35,app-20201104193246-0212,False,False,True,,33228,37.52,21874
38,q36,app-20201104193326-0213,True,True,True,16771.0,49159,53.364,38134
39,q37,app-20201104193421-0214,True,True,True,23090.0,54845,59.094,48615
40,q38,app-20201104193521-0215,False,False,True,,32211,36.442,20815
41,q39a,app-20201104193559-0216,False,True,True,22433.0,54350,60.183,52307
42,q39b,app-20201104193701-0217,True,True,True,20223.0,50871,56.524,48605
43,q40,app-20201104193759-0218,True,True,True,37646.0,91682,100.595,64280
44,q41,app-20201104193941-0219,True,True,True,30620.0,120690,129.921,55600
45,q42,app-20201104194153-0220,False,False,True,,33130,37.176,21775
46,q43,app-20201104194231-0221,True,True,True,12559.0,45268,49.61,34016
47,q44,app-20201104194323-0222,True,True,True,47817.0,79326,83.886,81736
48,q45,app-20201104194448-0223,False,False,True,,32753,36.947,21249
49,q46,app-20201104194527-0224,True,True,True,21464.0,57277,61.699,61897
50,q47,app-20201104194630-0225,True,True,True,28304.0,60645,65.304,68213
51,q48,app-20201104194737-0226,False,False,True,,32976,37.609,21422
52,q49,app-20201104194816-0227,True,True,True,32914.0,64980,69.517,152388
53,q50,app-20201104194927-0228,False,False,True,,33060,37.382,21582
54,q51,app-20201104195006-0229,True,True,True,27746.0,60307,64.698,62283
55,q52,app-20201104195113-0230,True,True,True,10466.0,42026,46.407,30604
56,q53,app-20201104195200-0231,True,True,True,12869.0,45357,49.532,34714
57,q54,app-20201104195252-0232,True,True,True,22325.0,54163,58.738,66073
58,q55,app-20201104195352-0233,True,True,True,10254.0,42365,46.547,30597
59,q56,app-20201104195440-0234,True,True,True,18905.0,51353,55.798,59356
60,q57,app-20201104195537-0235,True,True,True,26034.0,58156,62.648,65419
61,q58,app-20201104195642-0236,True,True,True,39522.0,71842,76.737,106821
62,q59,app-20201104195800-0237,False,False,True,,33250,37.637,21670
63,q60,app-20201104195839-0238,True,True,True,21468.0,57950,63.041,66922
64,q61,app-20201104195944-0239,False,False,False,,48077,,22674
65,q62,app-20201104200039-0240,False,False,True,,68752,74.372,32826
66,q63,app-20201104200155-0241,True,True,True,19845.0,89141,95.445,56380
67,q64,app-20201104200332-0242,True,True,True,150381.0,186192,193.47,453106
68,q65,app-20201104200647-0243,True,True,True,36996.0,73182,78.047,85628
69,q66,app-20201104200807-0244,True,True,True,18795.0,55143,60.197,49601
70,q67,app-20201104200909-0245,True,True,True,1024259.0,1061285,1066.025,1049340
71,q68,app-20201104202657-0246,True,True,True,19316.0,55484,60.356,51680
72,q69,app-20201104202759-0247,True,True,True,34467.0,80855,86.055,84689
73,q70,app-20201104202927-0248,True,True,True,30424.0,104552,110.888,71277
74,q71,app-20201104203119-0249,True,True,True,25504.0,89310,96.517,58750
75,q72,app-20201104203258-0250,True,True,True,360612.0,401051,405.947,413381
76,q73,app-20201104203945-0251,True,True,True,24713.0,62486,68.857,54140
77,q74,app-20201104204056-0252,True,True,True,57656.0,97546,103.77,200641
78,q75,app-20201104204241-0253,True,True,True,82152.0,141820,149.656,426703
79,q76,app-20201104204512-0254,True,True,True,45613.0,94194,99.88,73842
80,q77,app-20201104204654-0255,True,True,True,22814.0,62790,67.737,83192
81,q78,app-20201104204803-0256,True,True,True,130403.0,169399,174.266,325888
82,q79,app-20201104205059-0257,False,False,True,,43400,48.056,28118
83,q80,app-20201104205149-0258,True,True,True,48658.0,88607,93.596,201277
84,q81,app-20201104205324-0259,True,True,True,30986.0,71325,76.216,95081
85,q82,app-20201104205442-0260,True,True,True,39166.0,78418,83.114,73687
86,q83,app-20201104205607-0261,True,True,True,27588.0,67001,71.891,83787
87,q84,app-20201104205720-0262,True,True,True,13498.0,52914,57.634,56066
88,q85,app-20201104205819-0263,False,False,True,,39686,44.371,23587
89,q86,app-20201104205905-0264,True,True,True,14739.0,55212,59.963,38988
90,q87,app-20201104210007-0265,False,False,False,,67951,,35189
91,q88,app-20201104210121-0266,True,True,True,102429.0,169614,175.069,745530
92,q89,app-20201104210418-0267,True,True,True,15705.0,54298,58.98,39495
93,q90,app-20201104210518-0268,True,True,True,22934.0,62922,67.889,62753
94,q91,app-20201104210628-0269,True,True,True,18651.0,59193,64.308,54026
95,q92,app-20201104210734-0270,False,False,True,,40336,44.91,25023
96,q93,app-20201104210820-0271,True,True,True,166514.0,205111,209.738,237934
97,q94,app-20201104211151-0272,False,False,True,,39082,43.758,23551
98,q95,app-20201104211237-0273,False,False,True,,40219,44.738,24426
99,q96,app-20201104211323-0274,False,False,True,,40779,44.972,25406
100,q97,app-20201104211410-0275,True,True,True,78156.0,197414,207.242,124585
101,q98,app-20201104211738-0276,True,True,True,57965.0,209672,228.417,107108
102,q99,app-20201104212128-0277,False,False,True,,62987,69.635,43899
